property_id,check_in_date,room_category,successful_bookings,capacity,revenue,occupancy_percentage,day_of_week,day_type
16559,2022-05-01,RT1,25,30,2500,83.33333333333334,Sunday,Weekend
19562,2022-05-01,RT1,28,30,2800,93.33333333333333,Sunday,Weekend
19563,2022-05-01,RT1,23,30,2300,76.66666666666667,Sunday,Weekend
17558,2022-05-01,RT1,13,19,1300,68.42105263157895,Sunday,Weekend
16558,2022-05-01,RT1,18,19,1800,94.73684210526315,Sunday,Weekend
17560,2022-05-01,RT1,28,40,2800,70.0,Sunday,Weekend
19558,2022-05-01,RT1,25,40,2500,62.5,Sunday,Weekend
19560,2022-05-01,RT1,23,26,2300,88.46153846153845,Sunday,Weekend
17561,2022-05-01,RT1,22,26,2200,84.61538461538461,Sunday,Weekend
16560,2022-05-01,RT1,24,34,2400,70.58823529411765,Sunday,Weekend
16561,2022-05-01,RT1,16,18,1600,88.88888888888889,Sunday,Weekend
16562,2022-05-01,RT1,20,31,2000,64.51612903225806,Sunday,Weekend
16563,2022-05-01,RT1,36,41,3600,87.8048780487805,Sunday,Weekend
17559,2022-05-01,RT1,26,32,2600,81.25,Sunday,Weekend
17562,2022-05-01,RT1,12,20,1200,60.0,Sunday,Weekend
17563,2022-05-01,RT1,21,25,2100,84.0,Sunday,Weekend
18558,2022-05-01,RT1,11,15,1100,73.33333333333333,Sunday,Weekend
18559,2022-05-01,RT1,29,42,2900,69.04761904761905,Sunday,Weekend
18561,2022-05-01,RT1,31,33,3100,93.93939393939394,Sunday,Weekend
18562,2022-05-01,RT1,34,38,3400,89.47368421052632,Sunday,Weekend
18563,2022-05-01,RT1,18,27,1800,66.66666666666666,Sunday,Weekend
19559,2022-05-01,RT1,18,24,1800,75.0,Sunday,Weekend
19561,2022-05-01,RT1,25,36,2500,69.44444444444444,Sunday,Weekend
17564,2022-05-01,RT1,9,16,900,56.25,Sunday,Weekend
19562,2022-05-01,RT2,23,23,2300,100.0,Sunday,Weekend
18563,2022-05-01,RT2,21,29,2100,72.41379310344827,Sunday,Weekend
17561,2022-05-01,RT2,32,36,3200,88.88888888888889,Sunday,Weekend
17558,2022-05-01,RT2,38,50,3800,76.0,Sunday,Weekend
16562,2022-05-01,RT2,30,43,3000,69.76744186046511,Sunday,Weekend
16561,2022-05-01,RT2,24,24,2400,100.0,Sunday,Weekend
16558,2022-05-01,RT2,21,22,2100,95.45454545454545,Sunday,Weekend
19560,2022-05-01,RT2,37,38,3700,97.36842105263158,Sunday,Weekend
16563,2022-05-01,RT2,37,38,3700,97.36842105263158,Sunday,Weekend
16559,2022-05-01,RT2,35,41,3500,85.36585365853658,Sunday,Weekend
19559,2022-05-01,RT2,32,41,3200,78.04878048780488,Sunday,Weekend
19558,2022-05-01,RT2,25,39,2500,64.1025641025641,Sunday,Weekend
17559,2022-05-01,RT2,34,39,3400,87.17948717948718,Sunday,Weekend
16560,2022-05-01,RT2,25,34,2500,73.52941176470588,Sunday,Weekend
18562,2022-05-01,RT2,33,34,3300,97.05882352941177,Sunday,Weekend
18559,2022-05-01,RT2,29,44,2900,65.9090909090909,Sunday,Weekend
17563,2022-05-01,RT2,40,44,4000,90.9090909090909,Sunday,Weekend
17562,2022-05-01,RT2,19,30,1900,63.33333333333333,Sunday,Weekend
18558,2022-05-01,RT2,21,30,2100,70.0,Sunday,Weekend
17564,2022-05-01,RT2,25,40,2500,62.5,Sunday,Weekend
18561,2022-05-01,RT2,35,40,3500,87.5,Sunday,Weekend
18560,2022-05-01,RT2,34,40,3400,85.0,Sunday,Weekend
17560,2022-05-01,RT2,31,45,3100,68.88888888888889,Sunday,Weekend
19561,2022-05-01,RT2,35,45,3500,77.77777777777779,Sunday,Weekend
19563,2022-05-01,RT2,36,45,3600,80.0,Sunday,Weekend
19563,2022-05-01,RT3,20,29,2000,68.96551724137932,Sunday,Weekend
18560,2022-05-01,RT1,27,30,2700,90.0,Sunday,Weekend
19562,2022-05-01,RT3,25,29,2500,86.20689655172413,Sunday,Weekend
19561,2022-05-01,RT3,23,29,2300,79.3103448275862,Sunday,Weekend
18562,2022-05-01,RT3,28,29,2800,96.55172413793103,Sunday,Weekend
17558,2022-05-01,RT3,21,27,2100,77.77777777777779,Sunday,Weekend
17562,2022-05-01,RT3,15,27,1500,55.55555555555556,Sunday,Weekend
19559,2022-05-01,RT3,19,27,1900,70.37037037037037,Sunday,Weekend
16559,2022-05-01,RT3,27,32,2700,84.375,Sunday,Weekend
17560,2022-05-01,RT3,19,25,1900,76.0,Sunday,Weekend
18561,2022-05-01,RT3,23,25,2300,92.0,Sunday,Weekend
16561,2022-05-01,RT3,21,21,2100,100.0,Sunday,Weekend
16563,2022-05-01,RT3,17,20,1700,85.0,Sunday,Weekend
17561,2022-05-01,RT3,16,19,1600,84.21052631578947,Sunday,Weekend
18558,2022-05-01,RT3,18,26,1800,69.23076923076923,Sunday,Weekend
18560,2022-05-01,RT3,21,24,2100,87.5,Sunday,Weekend
18563,2022-05-01,RT3,16,23,1600,69.56521739130434,Sunday,Weekend
19560,2022-05-01,RT3,16,19,1600,84.21052631578947,Sunday,Weekend
17564,2022-05-01,RT3,16,24,1600,66.66666666666666,Sunday,Weekend
16560,2022-05-01,RT3,15,20,1500,75.0,Sunday,Weekend
16558,2022-05-01,RT3,8,8,800,100.0,Sunday,Weekend
19558,2022-05-01,RT3,13,21,1300,61.904761904761905,Sunday,Weekend
16562,2022-05-01,RT3,14,18,1400,77.77777777777779,Sunday,Weekend
17559,2022-05-01,RT3,14,16,1400,87.5,Sunday,Weekend
17563,2022-05-01,RT3,14,16,1400,87.5,Sunday,Weekend
18559,2022-05-01,RT3,14,23,1400,60.86956521739131,Sunday,Weekend
19559,2022-05-01,RT4,2,3,200,66.66666666666666,Sunday,Weekend
16562,2022-05-01,RT4,4,6,400,66.66666666666666,Sunday,Weekend
17558,2022-05-01,RT4,4,6,400,66.66666666666666,Sunday,Weekend
17562,2022-05-01,RT4,4,6,400,66.66666666666666,Sunday,Weekend
19563,2022-05-01,RT4,4,6,400,66.66666666666666,Sunday,Weekend
19558,2022-05-01,RT4,4,7,400,57.14285714285714,Sunday,Weekend
19561,2022-05-01,RT4,5,7,500,71.42857142857143,Sunday,Weekend
16560,2022-05-01,RT4,6,7,600,85.71428571428571,Sunday,Weekend
16561,2022-05-01,RT4,9,10,900,90.0,Sunday,Weekend
17560,2022-05-01,RT4,10,13,1000,76.92307692307693,Sunday,Weekend
18561,2022-05-01,RT4,8,9,800,88.88888888888889,Sunday,Weekend
17564,2022-05-01,RT4,9,17,900,52.94117647058824,Sunday,Weekend
18560,2022-05-01,RT4,14,15,1400,93.33333333333333,Sunday,Weekend
19560,2022-05-01,RT4,15,16,1500,93.75,Sunday,Weekend
18559,2022-05-01,RT4,11,19,1100,57.89473684210527,Sunday,Weekend
17563,2022-05-01,RT4,17,19,1700,89.47368421052632,Sunday,Weekend
19562,2022-05-01,RT4,13,14,1300,92.85714285714286,Sunday,Weekend
17559,2022-05-01,RT4,13,14,1300,92.85714285714286,Sunday,Weekend
18558,2022-05-01,RT4,14,20,1400,70.0,Sunday,Weekend
18562,2022-05-01,RT4,19,20,1900,95.0,Sunday,Weekend
18563,2022-05-01,RT4,13,18,1300,72.22222222222221,Sunday,Weekend
16563,2022-05-01,RT4,17,18,1700,94.44444444444444,Sunday,Weekend
16559,2022-05-01,RT4,17,18,1700,94.44444444444444,Sunday,Weekend
17561,2022-05-01,RT4,3,4,300,75.0,Sunday,Weekend
16558,2022-05-01,RT4,3,3,300,100.0,Sunday,Weekend
16559,2022-05-02,RT1,20,30,2000,66.66666666666666,Monday,Weekday
18560,2022-05-02,RT1,21,30,2100,70.0,Monday,Weekday
19562,2022-05-02,RT1,20,30,2000,66.66666666666666,Monday,Weekday
19563,2022-05-02,RT1,14,30,1400,46.666666666666664,Monday,Weekday
17558,2022-05-02,RT1,10,19,1000,52.63157894736842,Monday,Weekday
16558,2022-05-02,RT1,12,19,1200,63.1578947368421,Monday,Weekday
17560,2022-05-02,RT1,22,40,2200,55.00000000000001,Monday,Weekday
19558,2022-05-02,RT1,16,40,1600,40.0,Monday,Weekday
19560,2022-05-02,RT1,14,26,1400,53.84615384615385,Monday,Weekday
17561,2022-05-02,RT1,15,26,1500,57.692307692307686,Monday,Weekday
16560,2022-05-02,RT1,17,34,1700,50.0,Monday,Weekday
16561,2022-05-02,RT1,11,18,1100,61.111111111111114,Monday,Weekday
16562,2022-05-02,RT1,17,31,1700,54.83870967741935,Monday,Weekday
16563,2022-05-02,RT1,25,41,2500,60.97560975609756,Monday,Weekday
17559,2022-05-02,RT1,20,32,2000,62.5,Monday,Weekday
17562,2022-05-02,RT1,9,20,900,45.0,Monday,Weekday
17563,2022-05-02,RT1,15,25,1500,60.0,Monday,Weekday
18558,2022-05-02,RT1,8,15,800,53.333333333333336,Monday,Weekday
18559,2022-05-02,RT1,17,42,1700,40.476190476190474,Monday,Weekday
18561,2022-05-02,RT1,24,33,2400,72.72727272727273,Monday,Weekday
18562,2022-05-02,RT1,22,38,2200,57.89473684210527,Monday,Weekday
18563,2022-05-02,RT1,14,27,1400,51.85185185185185,Monday,Weekday
19559,2022-05-02,RT1,13,24,1300,54.166666666666664,Monday,Weekday
19561,2022-05-02,RT1,20,36,2000,55.55555555555556,Monday,Weekday
17564,2022-05-02,RT1,7,16,700,43.75,Monday,Weekday
19562,2022-05-02,RT2,15,23,1500,65.21739130434783,Monday,Weekday
18563,2022-05-02,RT2,15,29,1500,51.724137931034484,Monday,Weekday
17561,2022-05-02,RT2,23,36,2300,63.888888888888886,Monday,Weekday
17558,2022-05-02,RT2,27,50,2700,54.0,Monday,Weekday
