,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Home Team Initials,Away Team Initials
0,1930,13 Jul 1930 - 15:00 ,Group 1,Pocitos,Montevideo ,France,4.0,1.0,Mexico, ,4444.0,3.0,0.0,FRA,MEX
1,1930,13 Jul 1930 - 15:00 ,Group 4,Parque Central,Montevideo ,USA,3.0,0.0,Belgium, ,18346.0,2.0,0.0,USA,BEL
2,1930,14 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,2.0,1.0,Brazil, ,24059.0,2.0,0.0,YUG,BRA
3,1930,14 Jul 1930 - 14:50 ,Group 3,Pocitos,Montevideo ,Romania,3.0,1.0,Peru, ,2549.0,1.0,0.0,ROU,PER
4,1930,15 Jul 1930 - 16:00 ,Group 1,Parque Central,Montevideo ,Argentina,1.0,0.0,France, ,23409.0,0.0,0.0,ARG,FRA
5,1930,16 Jul 1930 - 14:45 ,Group 1,Parque Central,Montevideo ,Chile,3.0,0.0,Mexico, ,9249.0,1.0,0.0,CHI,MEX
6,1930,17 Jul 1930 - 12:45 ,Group 2,Parque Central,Montevideo ,Yugoslavia,4.0,0.0,Bolivia, ,18306.0,0.0,0.0,YUG,BOL
7,1930,17 Jul 1930 - 14:45 ,Group 4,Parque Central,Montevideo ,USA,3.0,0.0,Paraguay, ,18306.0,2.0,0.0,USA,PAR
8,1930,18 Jul 1930 - 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,1.0,0.0,Peru, ,57735.0,0.0,0.0,URU,PER
9,1930,19 Jul 1930 - 12:50 ,Group 1,Estadio Centenario,Montevideo ,Chile,1.0,0.0,France, ,2000.0,0.0,0.0,CHI,FRA
10,1930,19 Jul 1930 - 15:00 ,Group 1,Estadio Centenario,Montevideo ,Argentina,6.0,3.0,Mexico, ,42100.0,3.0,1.0,ARG,MEX
11,1930,20 Jul 1930 - 13:00 ,Group 2,Estadio Centenario,Montevideo ,Brazil,4.0,0.0,Bolivia, ,25466.0,1.0,0.0,BRA,BOL
12,1930,20 Jul 1930 - 15:00 ,Group 4,Estadio Centenario,Montevideo ,Paraguay,1.0,0.0,Belgium, ,12000.0,1.0,0.0,PAR,BEL
